Time,Download,Upload,Ping,Jitter
7.5,8.82,5.4,17.82,4.2
7.5,6.52,5.18,36.11,5.92
7.5,8.47,6.5,63.26,16.1
8,9.69,7.73,29.96,6.34
8,10.21,6.12,22.15,5.42
8,9.93,7.8,14.41,0.46
8.5,9.92,5.11,14.9,0.56
8.5,9.96,6.51,20.46,5.44
8.5,9.95,6.84,21.76,7.54
9,9.36,5.68,15.77,5.3
9,8.6,4.09,12.38,0.36
9,9.6,6.04,30.26,13.98
9.5,10.11,10.06,15.23,1.54
9.5,10.15,10.03,15.96,3.16
9.5,10.2,10.01,14.04,2.02
10,5.42,9.09,22.28,6.78
10,8.36,9.85,24.34,7.48
10,6.59,10.07,16.52,0.59
10.5,5.42,9.09,22.28,6.78
10.5,8.36,9.85,24.34,7.48
10.5,6.56,10.07,16.52,0.56
11,10.11,9.94,14.32,4
11,25.06,26.67,12.77,1.78
11,9.98,10.11,14.75,1.46
11.5,10.17,8.4,13.55,1.7
11.5,9.76,9.38,17.27,5.26
11.5,10.1,7.64,15.72,2.14
12,9.92,9.42,15.59,3.9
12,8.36,9.44,16.92,5.06
12,6.79,8.12,14.56,1.58
12.5,10.12,8.45,19.53,5.7
12.5,9.91,6.79,14.19,1.98
12.5,10.2,10.03,13.7,1.16
13,10.21,9.42,15.22,1.48
13,10.15,8.93,24.93,6.54
13,8.41,10.11,15.25,4.1
13.5,10.05,9.99,12.84,1.26
13.5,8.16,8.65,51.4,23.16
13.5,10.14,10.05,15.04,2.9
14,3.45,2.26,90.11,22.88
14,2.33,2.02,32.6,16.96
14,10.1,10.01,14.28,1.36
14.5,10.14,10.05,15.04,2.9
14.5,10.18,10.04,16.67,3.54
14.5,9.39,9.92,14.19,1.02
15,10.19,9.94,14.66,0.74
15,10.12,9.91,17.5,1.26
15,10.16,9.98,13.61,1.16
15.5,10.25,10.1,15.98,1.3
15.5,9.67,10.14,13.82,1.66
15.5,10.24,10,21.23,4.88
16,10.07,9.38,16.48,1.28
16,9.85,9.22,14.78,1.2
16,10.07,9.9,16.39,0.28
16.5,9.91,9.76,22.47,2.36
16.5,10.14,9.59,15.73,1.24
16.5,10.23,10.12,17.27,0.86
17,10.17,9.93,15.48,0.4
17,6.76,6.32,44.94,17.46
17,10.12,5.29,110.67,0.04
17.5,8.96,9.89,16.18,1.42
17.5,10.24,9.87,14.96,1.28
17.5,10.12,5.86,14.09,2.36